enterprise_code,company_name,english_name,province,city,industry_code,industry_category,founded_date,employee_count,annual_revenue,has_foreign_trade_experience,target_markets,status
ENT0029,样例企业029有限公司,"Sample Enterprise 029 Co., Ltd.",上海市,上海市,HOME,家居日用,2013-04-25,502,237510000.00,False,"中东,拉美",active
ENT0030,样例企业030有限公司,"Sample Enterprise 030 Co., Ltd.",江苏省,常州市,TEXT,纺织服装,2020-01-02,796,284920000.00,True,"拉美,北美",draft
ENT0031,样例企业031有限公司,"Sample Enterprise 031 Co., Ltd.",山东省,潍坊市,ELEC,电子电气,2007-10-07,906,22530000.00,False,"中东,非洲",archived
ENT0032,样例企业032有限公司,"Sample Enterprise 032 Co., Ltd.",上海市,上海市,MACH,机械设备,2015-03-13,554,199280000.00,False,"非洲,北美",draft
ENT0033,样例企业033有限公司,"Sample Enterprise 033 Co., Ltd.",山东省,青岛市,TEXT,纺织服装,2014-06-15,998,16950000.00,False,"非洲,拉美",archived
ENT0034,样例企业034有限公司,"Sample Enterprise 034 Co., Ltd.",北京市,北京市,MACH,机械设备,2005-07-01,337,75130000.00,True,"非洲,中东",draft
ENT0035,样例企业035有限公司,"Sample Enterprise 035 Co., Ltd.",福建省,厦门市,ELEC,电子电气,2008-04-09,745,269080000.00,True,"拉美,欧洲",archived
ENT0036,样例企业036有限公司,"Sample Enterprise 036 Co., Ltd.",山东省,潍坊市,MACH,机械设备,2019-09-25,1322,424460000.00,False,"欧洲,非洲",active
ENT0037,样例企业037有限公司,"Sample Enterprise 037 Co., Ltd.",江苏省,常州市,MACH,机械设备,2009-05-28,320,481560000.00,False,"中东,欧洲",active
ENT0038,样例企业038有限公司,"Sample Enterprise 038 Co., Ltd.",江苏省,无锡市,MACH,机械设备,2009-05-25,189,312230000.00,False,"拉美,北美",archived
ENT0039,样例企业039有限公司,"Sample Enterprise 039 Co., Ltd.",山东省,济南市,HOME,家居日用,2022-10-04,647,359930000.00,False,"中东,拉美",archived
ENT0040,样例企业040有限公司,"Sample Enterprise 040 Co., Ltd.",山东省,潍坊市,TEXT,纺织服装,2010-11-27,1352,117450000.00,True,"非洲,拉美",archived
ENT0041,样例企业041有限公司,"Sample Enterprise 041 Co., Ltd.",福建省,福州市,HOME,家居日用,2019-07-29,1380,55080000.00,True,"东南亚,拉美",archived
ENT0042,样例企业042有限公司,"Sample Enterprise 042 Co., Ltd.",浙江省,宁波市,HOME,家居日用,2006-03-12,1413,41720000.00,True,"北美,中东",archived
ENT0043,样例企业043有限公司,"Sample Enterprise 043 Co., Ltd.",江苏省,苏州市,MACH,机械设备,2013-10-11,767,423210000.00,True,"欧洲,拉美",draft
ENT0044,样例企业044有限公司,"Sample Enterprise 044 Co., Ltd.",广东省,东莞市,FOOD,食品饮料,2007-06-03,420,403620000.00,False,"北美,欧洲",archived
ENT0045,样例企业045有限公司,"Sample Enterprise 045 Co., Ltd.",江苏省,无锡市,FOOD,食品饮料,2014-06-14,78,165640000.00,False,"北美,非洲",active
ENT0046,样例企业046有限公司,"Sample Enterprise 046 Co., Ltd.",江苏省,无锡市,FOOD,食品饮料,2009-01-03,116,468860000.00,True,"中东,非洲",archived
ENT0047,样例企业047有限公司,"Sample Enterprise 047 Co., Ltd.",浙江省,宁波市,MACH,机械设备,2008-06-24,1306,144270000.00,True,"东南亚,拉美",active
ENT0048,样例企业048有限公司,"Sample Enterprise 048 Co., Ltd.",北京市,北京市,FOOD,食品饮料,2009-11-24,66,398320000.00,True,"非洲,拉美",active
ENT0049,样例企业049有限公司,"Sample Enterprise 049 Co., Ltd.",上海市,上海市,HOME,家居日用,2017-05-20,1406,358260000.00,True,"非洲,拉美",archived
ENT0050,样例企业050有限公司,"Sample Enterprise 050 Co., Ltd.",山东省,济南市,HOME,家居日用,2021-11-12,987,56810000.00,True,"非洲,中东",active
